epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,9143.61,1.21547,1.1792,1.188,0.513,0.19437,0.22916,0.13516,1.8575,2.43109,1.66446,0.000305211,0.000305211,0.000305211
66,9283.6,1.22365,1.16966,1.1773,0.60204,0.22993,0.26707,0.15027,1.8434,2.30982,1.70758,0.000296964,0.000296964,0.000296964
67,9422.64,1.20071,1.13813,1.16146,0.32146,0.27079,0.26086,0.14536,1.81008,2.22834,1.63017,0.000288718,0.000288718,0.000288718
68,9560.23,1.17868,1.12936,1.15467,0.45683,0.23974,0.27749,0.1478,1.82106,2.30163,1.66396,0.000280471,0.000280471,0.000280471
69,9700.05,1.18096,1.08386,1.15333,0.46466,0.27237,0.27356,0.1532,1.82272,2.22235,1.63853,0.000272224,0.000272224,0.000272224
70,9838,1.17147,1.09681,1.14551,0.56454,0.21848,0.25155,0.15273,1.8113,2.36274,1.65848,0.000263978,0.000263978,0.000263978
71,9977.39,1.18123,1.08672,1.1536,0.56509,0.23173,0.26351,0.15935,1.76989,2.30325,1.61052,0.000255731,0.000255731,0.000255731
72,10117.2,1.15107,1.05298,1.13585,0.52249,0.24821,0.26873,0.15869,1.81836,2.37438,1.62727,0.000247484,0.000247484,0.000247484
73,10257.8,1.14956,1.04396,1.149,0.46078,0.2606,0.26212,0.1522,1.7973,2.40605,1.6125,0.000239238,0.000239238,0.000239238
74,10398,1.13387,1.03379,1.12762,0.58361,0.21627,0.25635,0.14765,1.83362,2.42552,1.65954,0.000230991,0.000230991,0.000230991
75,10537.1,1.1432,1.0498,1.13134,0.50978,0.23321,0.25458,0.15252,1.83247,2.35703,1.65072,0.000222744,0.000222744,0.000222744
76,10676.6,1.14944,1.05422,1.1335,0.6224,0.25123,0.28687,0.15739,1.79965,2.40711,1.63192,0.000214497,0.000214497,0.000214497
77,10814.1,1.137,1.01472,1.12044,0.43897,0.22627,0.2496,0.14449,1.85141,2.3578,1.66468,0.000206251,0.000206251,0.000206251
78,10954.3,1.11983,1.0087,1.11638,0.63345,0.27102,0.26759,0.15209,1.7924,2.31798,1.62829,0.000198004,0.000198004,0.000198004
79,11094.4,1.13329,1.00514,1.12706,0.43453,0.2425,0.25581,0.15133,1.83012,2.3825,1.64448,0.000189757,0.000189757,0.000189757
80,11233.9,1.08795,0.96012,1.10217,0.44333,0.24233,0.27326,0.15003,1.84623,2.45552,1.64588,0.000181511,0.000181511,0.000181511
81,11374,1.1139,0.98018,1.10084,0.48237,0.22037,0.2545,0.14827,1.81727,2.42936,1.62134,0.000173264,0.000173264,0.000173264
82,11513.9,1.09434,0.97264,1.10835,0.52184,0.26008,0.27376,0.15299,1.80177,2.41339,1.6281,0.000165017,0.000165017,0.000165017
83,11653.6,1.09716,0.96524,1.10136,0.38925,0.24019,0.2673,0.15495,1.79247,2.40558,1.62499,0.000156771,0.000156771,0.000156771
84,11793.1,1.09758,0.96009,1.09762,0.66533,0.22387,0.25907,0.15078,1.80589,2.41016,1.62074,0.000148524,0.000148524,0.000148524
85,11932.5,1.09001,0.94171,1.11253,0.70409,0.20765,0.24366,0.15003,1.84626,2.39715,1.65464,0.000140277,0.000140277,0.000140277
86,12072.2,1.07008,0.93549,1.09158,0.49757,0.24458,0.25593,0.1589,1.81135,2.3697,1.64013,0.000132031,0.000132031,0.000132031
87,12211.5,1.08775,0.9351,1.09264,0.62067,0.18214,0.22976,0.14023,1.85955,2.46552,1.65641,0.000123784,0.000123784,0.000123784
88,12351.5,1.08028,0.90722,1.09007,0.52783,0.23588,0.24775,0.14801,1.80367,2.4032,1.61923,0.000115537,0.000115537,0.000115537
89,12500.9,1.06678,0.9239,1.0787,0.60865,0.20958,0.24521,0.15135,1.78921,2.47104,1.60895,0.00010729,0.00010729,0.00010729
90,12643.1,1.0584,0.90785,1.08439,0.57326,0.20496,0.23741,0.14799,1.81961,2.48218,1.63574,9.90437e-05,9.90437e-05,9.90437e-05
91,12782.4,0.99094,0.81224,1.08614,0.52312,0.20943,0.23918,0.14085,1.85084,2.48667,1.67628,9.0797e-05,9.0797e-05,9.0797e-05
92,12924.7,0.98245,0.80147,1.08391,0.59126,0.21954,0.25826,0.15024,1.84418,2.34072,1.69359,8.25503e-05,8.25503e-05,8.25503e-05
93,13062.5,0.96253,0.77095,1.07202,0.54959,0.2345,0.25472,0.14917,1.85351,2.34729,1.6898,7.43036e-05,7.43036e-05,7.43036e-05
94,13201.6,0.96551,0.77596,1.07549,0.53683,0.2339,0.2479,0.14685,1.86518,2.35638,1.7101,6.60569e-05,6.60569e-05,6.60569e-05
95,13338.7,0.95858,0.78236,1.07466,0.64069,0.22327,0.25335,0.1472,1.87814,2.38258,1.73591,5.78102e-05,5.78102e-05,5.78102e-05
96,13477.7,0.9406,0.7519,1.06012,0.61138,0.22593,0.25125,0.14914,1.85628,2.39428,1.67532,4.95635e-05,4.95635e-05,4.95635e-05
97,13614.7,0.94905,0.74482,1.06097,0.56648,0.22913,0.25638,0.14941,1.82834,2.39059,1.65586,4.13168e-05,4.13168e-05,4.13168e-05
98,13753.8,0.9507,0.75914,1.07221,0.59725,0.23971,0.25665,0.14915,1.85932,2.41607,1.68293,3.30701e-05,3.30701e-05,3.30701e-05
99,13893.2,0.91837,0.72403,1.05638,0.59751,0.23395,0.25674,0.15022,1.84408,2.39443,1.66664,2.48234e-05,2.48234e-05,2.48234e-05
100,14031.3,0.93037,0.73704,1.0602,0.59618,0.23438,0.25241,0.14996,1.84495,2.37613,1.70746,1.65767e-05,1.65767e-05,1.65767e-05
