epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,511.314,1.25165,1.22852,1.18722,0.57791,0.23587,0.25793,0.15124,1.90005,2.36748,1.69801,0.000387678,0.000387678,0.000387678
56,524.032,1.25942,1.23135,1.19883,0.53152,0.24053,0.27127,0.15072,1.93901,2.18036,1.7262,0.000379431,0.000379431,0.000379431
57,534.462,1.24642,1.20676,1.18311,0.52964,0.24433,0.26365,0.1499,1.89839,2.23214,1.69211,0.000371185,0.000371185,0.000371185
58,543.584,1.22059,1.16282,1.16453,0.5585,0.26222,0.27901,0.15852,1.86242,2.27364,1.63563,0.000362938,0.000362938,0.000362938
59,552.885,1.24519,1.16695,1.19175,0.535,0.29677,0.29074,0.16992,1.80681,2.22805,1.65458,0.000354691,0.000354691,0.000354691
60,561.978,1.21656,1.18468,1.1722,0.4534,0.25398,0.27857,0.15658,1.90699,2.21582,1.70559,0.000346445,0.000346445,0.000346445
61,570.81,1.22221,1.16739,1.16261,0.38792,0.25344,0.26578,0.14699,1.85622,2.26367,1.65563,0.000338198,0.000338198,0.000338198
62,579.834,1.20195,1.12604,1.15193,0.72707,0.21718,0.26571,0.15524,1.83453,2.32476,1.6373,0.000329951,0.000329951,0.000329951
63,588.708,1.19308,1.11696,1.16004,0.5032,0.26682,0.27508,0.1631,1.85504,2.31391,1.66572,0.000321705,0.000321705,0.000321705
64,598.935,1.19846,1.11866,1.14433,0.35265,0.30191,0.27794,0.15877,1.85484,2.25238,1.65538,0.000313458,0.000313458,0.000313458
65,609.302,1.18593,1.09533,1.14212,0.38794,0.28781,0.2704,0.15762,1.8664,2.33183,1.69052,0.000305211,0.000305211,0.000305211
66,618.129,1.14279,1.05785,1.13293,0.38556,0.27457,0.26663,0.15352,1.82328,2.47675,1.62651,0.000296964,0.000296964,0.000296964
67,627.195,1.16301,1.05678,1.13439,0.37613,0.24899,0.26462,0.15179,1.90197,2.38674,1.70636,0.000288718,0.000288718,0.000288718
68,636.226,1.14785,1.04401,1.11835,0.38271,0.25621,0.27211,0.1593,1.85042,2.41409,1.71331,0.000280471,0.000280471,0.000280471
69,647.665,1.15782,1.05474,1.12291,0.54573,0.22212,0.24503,0.14504,1.88796,2.4927,1.66206,0.000272224,0.000272224,0.000272224
70,656.778,1.16827,1.05052,1.12523,0.54074,0.21306,0.2594,0.15223,1.85283,2.43658,1.6613,0.000263978,0.000263978,0.000263978
71,665.897,1.12838,1.00734,1.11586,0.73792,0.20846,0.25348,0.14434,1.87739,2.47976,1.68275,0.000255731,0.000255731,0.000255731
72,674.836,1.11637,0.99458,1.10721,0.45177,0.2746,0.26734,0.15496,1.85581,2.36011,1.69633,0.000247484,0.000247484,0.000247484
73,683.976,1.11863,0.99087,1.09234,0.38769,0.25046,0.25706,0.15327,1.84229,2.50747,1.61079,0.000239238,0.000239238,0.000239238
74,694.269,1.12021,0.99766,1.11217,0.4103,0.25392,0.26535,0.15531,1.84103,2.46297,1.62144,0.000230991,0.000230991,0.000230991
75,703.588,1.10851,0.99661,1.10818,0.33513,0.26722,0.25227,0.14292,1.86605,2.4638,1.66027,0.000222744,0.000222744,0.000222744
76,712.882,1.10089,0.96435,1.10805,0.42054,0.25058,0.26653,0.14866,1.85782,2.38744,1.64996,0.000214497,0.000214497,0.000214497
77,722.021,1.10388,0.96205,1.09749,0.74891,0.20069,0.24789,0.1458,1.88526,2.45913,1.67426,0.000206251,0.000206251,0.000206251
78,733.01,1.09375,0.96536,1.09366,0.52628,0.25481,0.26553,0.15232,1.86262,2.41178,1.63133,0.000198004,0.000198004,0.000198004
79,742.089,1.09179,0.9453,1.09928,0.59968,0.22318,0.25702,0.15158,1.85075,2.42764,1.65849,0.000189757,0.000189757,0.000189757
80,750.99,1.07438,0.92673,1.08379,0.35265,0.26547,0.25239,0.14549,1.89832,2.4933,1.67807,0.000181511,0.000181511,0.000181511
81,761.309,1.06952,0.93274,1.08967,0.42669,0.23415,0.24959,0.14645,1.86096,2.43662,1.66066,0.000173264,0.000173264,0.000173264
82,771.539,1.0484,0.90949,1.07053,0.34918,0.22212,0.23367,0.1378,1.88934,2.44475,1.67383,0.000165017,0.000165017,0.000165017
83,780.691,1.06276,0.91308,1.07502,0.48486,0.20994,0.25228,0.15047,1.8744,2.40682,1.66869,0.000156771,0.000156771,0.000156771
